,t,x0,x1,x2,x3,u0,u1,u2,side
148,1634125297.3253627,0.09238874498692556,-0.025491615538165955,-1.625494234591448,2.5535900500422257,0.60589599609375,0.302947998046875,0.0,left
149,1634125297.3373682,0.09252878340792635,-0.02581474403801643,-1.6313757314812662,2.5535900500422257,0.5706024169921875,0.182373046875,0.0,left
150,1634125297.349364,0.09260546104869329,-0.02611658102173902,-1.636058228746091,2.553629383914329,0.5470733642578125,-0.005859375,0.003146709768273581,left
151,1634125297.3613706,0.09258387350500016,-0.026400185843243305,-1.6390437889823322,2.5536687198492363,0.51177978515625,-0.0411529541015625,0.0031468747925700313,left
152,1634125297.3733616,0.09254438510380181,-0.026664168222436054,-1.6415396975095142,2.5537080578469875,0.4764862060546875,-0.194091796875,0.003147039820099451,left
153,1634125297.3853648,0.09242622490757779,-0.026904128885063636,-1.642567134761228,2.5537473979076233,0.4764862060546875,-0.2293853759765625,0.00314720485086184,left
154,1634125297.3973615,0.09228951726981123,-0.027142652284312195,-1.643300690890683,2.5537867400311844,0.4764862060546875,-0.23824310302734375,0.0031473698848927256,left
155,1634125297.4093585,0.09214804189965933,-0.027380741753966552,-1.643960322150558,2.553826084217712,0.4764862060546875,-0.23824310302734375,0.003147534922192108,left
156,1634125297.4213681,0.0920064095090409,-0.027618737850253067,-1.6446197281683743,2.553865430467245,0.4764862060546875,-0.23824310302734375,0.0031476999626534052,left
157,1634125297.4333599,0.09186462021316778,-0.027856640501553367,-1.6452789089441318,2.5539047787798244,0.4764862060546875,-0.23824310302734375,0.003147865006347672,left
158,1634125297.445361,0.09172267412725686,-0.028094449636395746,-1.6459378644778304,2.553944129155491,0.441192626953125,-0.217620849609375,0.0031480300533459626,left
159,1634125297.457366,0.09159263949110935,-0.028314673594690684,-1.6465725592577507,2.5539834815942855,0.4058990478515625,-0.170562744140625,0.0031481951035416955,left
160,1634125297.4693613,0.09148824818983535,-0.028518371469659107,-1.6474029829041628,2.5537068285033326,0.3823699951171875,-0.1352691650390625,-0.022132247276225314,left
161,1634125297.4813578,0.09140291829814313,-0.02871119054970455,-1.6483979308436054,2.5535900500422257,0.347076416015625,-0.0999755859375,-0.009342276888553158,left
162,1634125297.493368,0.09133711200111491,-0.02888705407968299,-1.6494913006837624,2.5535900500422257,0.4058990478515625,-0.0411529541015625,0.0,left
